"filename", "language", "HTML", "TypeScript", "CSS", "Python", "XML", "JSON", "comment", "blank", "total"
"c:\Users\adria\Documents\GitHub\grid-test\src\app\alert\alert.component.css", "CSS", 0, 0, 117, 0, 0, 0, 0, 22, 139
"c:\Users\adria\Documents\GitHub\grid-test\src\app\alert\alert.component.html", "HTML", 8, 0, 0, 0, 0, 0, 14, 2, 24
"c:\Users\adria\Documents\GitHub\grid-test\src\app\alert\alert.component.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 10, 57
"c:\Users\adria\Documents\GitHub\grid-test\src\app\app.component.css", "CSS", 0, 0, 32, 0, 0, 0, 5, 15, 52
"c:\Users\adria\Documents\GitHub\grid-test\src\app\app.component.html", "HTML", 23, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\adria\Documents\GitHub\grid-test\src\app\app.component.spec.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\adria\Documents\GitHub\grid-test\src\app\app.component.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 7, 43
"c:\Users\adria\Documents\GitHub\grid-test\src\app\app.module.ts", "TypeScript", 0, 83, 0, 0, 0, 0, 0, 4, 87
"c:\Users\adria\Documents\GitHub\grid-test\src\app\auth\auth-guard.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\auth\auth-guard.service.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\container\container.component.css", "CSS", 0, 0, 55, 0, 0, 0, 3, 17, 75
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\container\container.component.html", "HTML", 111, 0, 0, 0, 0, 0, 9, 1, 121
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\container\container.component.ts", "TypeScript", 0, 111, 0, 0, 0, 0, 23, 25, 159
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containercanvas\containercanvas.component.css", "CSS", 0, 0, 82, 0, 0, 0, 18, 16, 116
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containercanvas\containercanvas.component.html", "HTML", 21, 0, 0, 0, 0, 0, 1, 1, 23
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containercanvas\containercanvas.component.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 8, 30
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containers.component.css", "CSS", 0, 0, 53, 0, 0, 0, 0, 13, 66
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containers.component.html", "HTML", 28, 0, 0, 0, 0, 0, 1, 1, 30
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\containers.component.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 9, 44
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\logs.component.css", "CSS", 0, 0, 166, 0, 0, 0, 13, 28, 207
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\logs.component.html", "HTML", 19, 0, 0, 0, 0, 0, 30, 3, 52
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\logs.component.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 8, 41
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\singlelog\singlelog.component.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\singlelog\singlelog.component.html", "HTML", 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\logs\singlelog\singlelog.component.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\new\canvas\canvas.component.css", "CSS", 0, 0, 117, 0, 0, 0, 0, 18, 135
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\new\canvas\canvas.component.html", "HTML", 16, 0, 0, 0, 0, 0, 19, 0, 35
"c:\Users\adria\Documents\GitHub\grid-test\src\app\containers\new\canvas\canvas.component.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\chart\chart.component.css", "CSS", 0, 0, 192, 0, 0, 0, 37, 28, 257
"c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\chart\chart.component.html", "HTML", 21, 0, 0, 0, 0, 0, 1, 0, 22
"c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\chart\chart.component.ts", "TypeScript", 0, 306, 0, 0, 0, 0, 8, 27, 341
"c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\dashboard.component.css", "CSS", 0, 0, 11, 0, 0, 0, 4, 4, 19
"c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\dashboard.component.html", "HTML", 52, 0, 0, 0, 0, 0, 8, 0, 60
"c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\dashboard.component.ts", "TypeScript", 0, 124, 0, 0, 0, 0, 0, 19, 143
"c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\stats\stats.component.css", "CSS", 0, 0, 47, 0, 0, 0, 1, 6, 54
"c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\stats\stats.component.html", "HTML", 29, 0, 0, 0, 0, 0, 2, 1, 32
"c:\Users\adria\Documents\GitHub\grid-test\src\app\dashboard\stats\stats.component.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 7, 48
"c:\Users\adria\Documents\GitHub\grid-test\src\app\directives\dropdown.directive.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 7, 19
"c:\Users\adria\Documents\GitHub\grid-test\src\app\dynamicname.service.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\adria\Documents\GitHub\grid-test\src\app\interceptor\api.interceptor.spec.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\interceptor\api.interceptor.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 5, 45
"c:\Users\adria\Documents\GitHub\grid-test\src\app\interceptor\auth.interceptor.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 8, 34
"c:\Users\adria\Documents\GitHub\grid-test\src\app\login\login\login.component.css", "CSS", 0, 0, 138, 0, 0, 0, 33, 30, 201
"c:\Users\adria\Documents\GitHub\grid-test\src\app\login\login\login.component.html", "HTML", 37, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\adria\Documents\GitHub\grid-test\src\app\login\login\login.component.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 9, 47
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\alert.model.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\container.model.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\containers.model.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\dashboard.models.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\events.model.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\log.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\message.model.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\metrics.model.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\singlecontainer.model.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 6, 46
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\socketlog.model.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 8
"c:\Users\adria\Documents\GitHub\grid-test\src\app\models\socketmessage.model.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\adria\Documents\GitHub\grid-test\src\app\navbar\navbar.component.css", "CSS", 0, 0, 89, 0, 0, 0, 0, 15, 104
"c:\Users\adria\Documents\GitHub\grid-test\src\app\navbar\navbar.component.html", "HTML", 38, 0, 0, 0, 0, 0, 3, 1, 42
"c:\Users\adria\Documents\GitHub\grid-test\src\app\navbar\navbar.component.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 4, 13, 99
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\Untitled-1.json", "JSON", 0, 0, 0, 0, 0, 64, 0, 2, 66
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\alert.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\alert.service.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 4, 35
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\auth.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\auth.service.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 1, 11, 59
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\containerservice.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\containerservice.service.ts", "TypeScript", 0, 116, 0, 0, 0, 0, 0, 15, 131
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\containerstate.enum.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\httpservice.service.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 12, 54
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\loading.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\loading.service.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\log.service.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 1, 5, 30
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\navtitle.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\navtitle.service.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 7, 34
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\socket.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\socket.service.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 8, 11, 97
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\theme.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\theme.service.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\themeservice.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\services\themeservice.service.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar-new\sidebar-new.component.css", "CSS", 0, 0, 72, 0, 0, 0, 36, 18, 126
"c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar-new\sidebar-new.component.html", "HTML", 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar-new\sidebar-new.component.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar.component.css", "CSS", 0, 0, 50, 0, 0, 0, 16, 14, 80
"c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar.component.html", "HTML", 76, 0, 0, 0, 0, 0, 0, 1, 77
"c:\Users\adria\Documents\GitHub\grid-test\src\app\sidebar\sidebar.component.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 8, 20
"c:\Users\adria\Documents\GitHub\grid-test\src\app\title\title.component.css", "CSS", 0, 0, 31, 0, 0, 0, 0, 6, 37
"c:\Users\adria\Documents\GitHub\grid-test\src\app\title\title.component.html", "HTML", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\adria\Documents\GitHub\grid-test\src\app\title\title.component.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\adria\Documents\GitHub\grid-test\src\app\util\loader\loader.component.css", "CSS", 0, 0, 56, 0, 0, 0, 0, 1, 57
"c:\Users\adria\Documents\GitHub\grid-test\src\app\util\loader\loader.component.html", "HTML", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\adria\Documents\GitHub\grid-test\src\app\util\loader\loader.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\bigwidget\bigwidget.component.css", "CSS", 0, 0, 154, 0, 0, 0, 2, 38, 194
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\bigwidget\bigwidget.component.html", "HTML", 76, 0, 0, 0, 0, 0, 2, 0, 78
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\bigwidget\bigwidget.component.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\widget\widget.component.css", "CSS", 0, 0, 128, 0, 0, 0, 116, 26, 270
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\widget\widget.component.html", "HTML", 108, 0, 0, 0, 0, 0, 0, 1, 109
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\dashboard\widget\widget.component.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\expandwidget\expandwidget.component.css", "CSS", 0, 0, 96, 0, 0, 0, 0, 18, 114
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\expandwidget\expandwidget.component.html", "HTML", 76, 0, 0, 0, 0, 0, 0, 2, 78
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\expandwidget\expandwidget.component.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\newwidget\newwidget.component.css", "CSS", 0, 0, 128, 0, 0, 0, 4, 25, 157
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\newwidget\newwidget.component.html", "HTML", 209, 0, 0, 0, 0, 0, 1, 1, 211
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\newwidget\newwidget.component.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\smallwidget\smallwidget.component.css", "CSS", 0, 0, 82, 0, 0, 0, 0, 17, 99
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\smallwidget\smallwidget.component.html", "HTML", 176, 0, 0, 0, 0, 0, 0, 1, 177
"c:\Users\adria\Documents\GitHub\grid-test\src\app\widgets\smallwidget\smallwidget.component.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 7, 7, 32
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\alerticon.svg", "XML", 0, 0, 0, 0, 3, 0, 3, 1, 7
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\chart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\check.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\colors\red.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\containericon.svg", "XML", 0, 0, 0, 0, 3, 0, 3, 1, 7
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\copy.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\forbidden.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\gear.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\home.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\homeicon.svg", "XML", 0, 0, 0, 0, 3, 0, 3, 2, 8
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\logo.svg", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 20
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\logout.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\restarting.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\server-solid.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\testlog.json", "JSON", 0, 0, 0, 0, 0, 27, 0, 1, 28
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\themes.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\triangle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\adria\Documents\GitHub\grid-test\src\assets\warning.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\adria\Documents\GitHub\grid-test\src\environments\environment.dev.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\adria\Documents\GitHub\grid-test\src\environments\environment.prod.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\adria\Documents\GitHub\grid-test\src\environments\environment.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 11, 3, 18
"c:\Users\adria\Documents\GitHub\grid-test\src\index.html", "HTML", 25, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\adria\Documents\GitHub\grid-test\src\main.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\adria\Documents\GitHub\grid-test\src\metrics.py", "Python", 0, 0, 0, 10, 0, 0, 3, 2, 15
"c:\Users\adria\Documents\GitHub\grid-test\src\polyfills.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 47, 6, 54
"c:\Users\adria\Documents\GitHub\grid-test\src\styles.css", "CSS", 0, 0, 23, 0, 0, 0, 7, 4, 34
"c:\Users\adria\Documents\GitHub\grid-test\src\test.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 5, 27
"Total", "-", 1202, 2008, 1937, 10, 58, 105, 520, 832, 6672